구분,과목코드,분반,과목명,시수,부문,강의실
기초교양,12200001,7,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수5,6(사회과학2호관 431)"
기초교양,12200001,8,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수7,8(사회과학2호관 431)"
기초교양,12200001,9,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화1,2(사회과학2호관 431)"
기초교양,12200001,10,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화3,4(사회과학2호관 431)"
기초교양,12200001,11,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(사회과학2호관 431)"
기초교양,12200001,12,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화6,7(사회과학2호관 431)"
기초교양,12200001,13,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화8,9(사회과학2호관 431)"
기초교양,12200001,14,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 208)"
기초교양,12200001,15,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화8,9(60주년기념관 209)"
기초교양,12200001,16,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화,6,7(60주년기념관 208)"
기초교양,12200001,17,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화,6,7(60주년기념관 209)"
기초교양,12200001,18,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 402)"
기초교양,12200001,19,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화6,7(60주년기념관 312)"
기초교양,12200001,20,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 208)"
기초교양,12200001,21,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 209)"
기초교양,12200001,22,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 209)"
기초교양,12200001,23,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수1,2(60주년기념관 313)"
기초교양,12200001,24,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수3,4(60주년기념관 313)"
기초교양,12200001,25,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 208)"
기초교양,12200001,26,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 209)"
기초교양,12200001,27,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 313)"
기초교양,12200001,28,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수7,8(60주년기념관 314)"
기초교양,12200001,29,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수5,6(인1호관 102)"
기초교양,12200001,30,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"수7,8(인1호관 102)"
기초교양,12200001,31,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화6,7(인1호관 102)"
기초교양,12200001,32,기본영어(읽기쓰기),2-2-0-0,글로벌의사소통,"화8,9(인1호관 102)"
